User ID- 201382457, Username- mell1433, Q1- 4, Q2- 2, Q3- 3, Q4- 2, Q5- 4, Q6- 3, Q7- 4, Q8- 1, Q9- 2, Q10- 4
User ID- 5929292461, Username- OStasya, Q1- 3, Q2- 2, Q3- 3, Q4- 4, Q5- 4, Q6- 2, Q7- 2, Q8- 4, Q9- 4, Q10- 4, end_time- datetime.datetime(2024, 8, 6, 15, 7, 46, 85618)
User ID- 5929292461, Username- OStasya, Q1- 3, Q2- 2, Q3- 3, Q4- 4, Q5- 4, Q6- 2, Q7- 2, Q8- 4, Q9- 4, Q10- 4, end_time- datetime.datetime(2024, 8, 6, 15, 7, 46, 101622)
User ID- 1071721023, Username- kawinka, Q1- 2, Q2- 4, Q3- 2, Q4- 2, Q5- 1, Q6- 2, Q7- 4, Q8- 2, Q9- 2, Q10- 2, end_time- datetime.datetime(2024, 8, 6, 15, 7, 46, 100622)
User ID- 806241975, Username- Marie_Paramonova, Q1- 4, Q2- 1, Q3- 4, Q4- 4, Q5- 4, Q6- 2, Q7- 4, Q8- 4, Q9- 1, Q10- 4, end_time- datetime.datetime(2024, 8, 6, 15, 7, 46, 118626)
User ID- 1071721023, Username- kawinka, Q1- 2, Q2- 4, Q3- 2, Q4- 2, Q5- 1, Q6- 2, Q7- 4, Q8- 2, Q9- 2, Q10- 2, end_time- datetime.datetime(2024, 8, 6, 15, 7, 46, 114625)
User ID- 1071721023, Username- kawinka, Q1- 2, Q2- 4, Q3- 2, Q4- 2, Q5- 1, Q6- 2, Q7- 4, Q8- 2, Q9- 2, Q10- 4, end_time- datetime.datetime(2024, 8, 6, 15, 7, 46, 109624)
User ID- 1296185511, Username- None, Q1- 1, Q2- 4, Q3- 4, Q4- 1, Q5- 1, Q6- 1, Q7- 3, Q8- 4, Q9- 4, Q10- 4
User ID- 740982325, Username- None, Q1- 1, Q2- 2, Q3- 4, Q4- 2, Q5- 1, Q6- 4, Q7- 4, Q8- 4, Q9- 4, Q10- 4
User ID- 1941620005, Username- None, Q1- 1, Q2- 1, Q3- 1, Q4- 1, Q5- 4, Q6- 1, Q7- 4, Q8- 4, Q9- 4, Q10- 1
User ID- 5195859708, Username- None, Q1- 4, Q2- 4, Q3- 4, Q4- 1, Q5- 1, Q6- 4, Q7- 3, Q8- 4, Q9- 3, Q10- 2
User ID- 1942915712, Username- None, Q1- 4, Q2- 4, Q3- 2, Q4- 3, Q5- 4, Q6- 2, Q7- 2, Q8- 4, Q9- 4, Q10- 4
User ID- 5519610279, Username- None, Q1- 1, Q2- 2, Q3- 4, Q4- 4, Q5- 2, Q6- 2, Q7- 4, Q8- 3, Q9- 4, Q10- 4
User ID- 5169312869, Username- DianaZhikhareva, Q1- 4, Q2- 4, Q3- 1, Q4- 4, Q5- 2, Q6- 4, Q7- 2, Q8- 4, Q9- 1, Q10- 1
User ID- 5294353930, Username- Rucina13, Q1- 4, Q2- 4, Q3- 4, Q4- 2, Q5- 2, Q6- 1, Q7- 1, Q8- 2, Q9- 2, Q10- 1
User ID- 1535985884, Username- feyaG, Q1- 4, Q2- 1, Q3- 4, Q4- 3, Q5- 2, Q6- 1, Q7- 4, Q8- 4, Q9- 1, Q10- 4
User ID- 1092273210, Username- None, Q1- 1, Q2- 1, Q3- 1, Q4- 4, Q5- 4, Q6- 4, Q7- 2, Q8- 4, Q9- 4, Q10- 4
User ID- 1378547170, Username- None, Q1- 2, Q2- 2, Q3- 2, Q4- 2, Q5- 2, Q6- 2, Q7- 1, Q8- 3, Q9- 2, Q10- 1
User ID- 808449807, Username- nursyash, Q1- 3, Q2- 4, Q3- 3, Q4- 4, Q5- 2, Q6- 2, Q7- 2, Q8- 1, Q9- 3, Q10- 1
User ID- 1827075452, Username- None, Q1- 4, Q2- 3, Q3- 1, Q4- 1, Q5- 4, Q6- 2, Q7- 1, Q8- 4, Q9- 1, Q10- 3
User ID- 5255738668, Username- Dubrovskaya_Y, Q1- 4, Q2- 2, Q3- 2, Q4- 2, Q5- 1, Q6- 2, Q7- 4, Q8- 1, Q9- 4, Q10- 3
User ID- 1188118811, Username- tashashkina, Q1- 4, Q2- 2, Q3- 3, Q4- 4, Q5- 2, Q6- 4, Q7- 2, Q8- 1, Q9- 4, Q10- 1
User ID- 918478374, Username- AnnushkaPonomareva, Q1- 4, Q2- 1, Q3- 4, Q4- 3, Q5- 2, Q6- 3, Q7- 2, Q8- 4, Q9- 1, Q10- 1
User ID- 5285790574, Username- None, Q1- 1, Q2- 1, Q3- 3, Q4- 2, Q5- 2, Q6- 2, Q7- 4, Q8- 2, Q9- 1, Q10- 4
User ID- 5111952771, Username- None, Q1- 4, Q2- 2, Q3- 3, Q4- 4, Q5- 2, Q6- 3, Q7- 4, Q8- 4, Q9- 3, Q10- 4
User ID- 1134464978, Username- Rusalyonka, Q1- 4, Q2- 1, Q3- 2, Q4- 2, Q5- 2, Q6- 2, Q7- 4, Q8- 2, Q9- 2, Q10- 4
User ID- 919970904, Username- yuchernyavskaya, Q1- 1, Q2- 1, Q3- 2, Q4- 1, Q5- 2, Q6- 3, Q7- 4, Q8- 2, Q9- 4, Q10- 4
User ID- 350592321, Username- None, Q1- 1, Q2- 1, Q3- 1, Q4- 4, Q5- 1, Q6- 4, Q7- 4, Q8- 1, Q9- 4, Q10- 3
User ID- 627163943, Username- timeroz, Q1- 4, Q2- 2, Q3- 2, Q4- 2, Q5- 2, Q6- 1, Q7- 2, Q8- 1, Q9- 3, Q10- 1
User ID- 5008939027, Username- None, Q1- 4, Q2- 2, Q3- 1, Q4- 2, Q5- 2, Q6- 2, Q7- 2, Q8- 2, Q9- 2, Q10- 4
User ID- 1527427496, Username- None, Q1- 4, Q2- 1, Q3- 4, Q4- 2, Q5- 1, Q6- 2, Q7- 4, Q8- 1, Q9- 4, Q10- 4
User ID- 197892742, Username- None, Q1- 1, Q2- 1, Q3- 2, Q4- 4, Q5- 2, Q6- 2, Q7- 1, Q8- 4, Q9- 4, Q10- 2
User ID- 644860702, Username- None, Q1- 4, Q2- 2, Q3- 4, Q4- 4, Q5- 2, Q6- 3, Q7- 4, Q8- 4, Q9- 4, Q10- 3
User ID- 2088555818, Username- None, Q1- 4, Q2- 1, Q3- 2, Q4- 2, Q5- 2, Q6- 2, Q7- 2, Q8- 2, Q9- 2, Q10- 1
User ID- 6457195535, Username- None, Q1- 3, Q2- 1, Q3- 3, Q4- 1, Q5- 2, Q6- 3, Q7- 1, Q8- 2, Q9- 4, Q10- 1
User ID- 1766362715, Username- yulia_kotlyarova, Q1- 4, Q2- 4, Q3- 3, Q4- 4, Q5- 2, Q6- 3, Q7- 4, Q8- 4, Q9- 4, Q10- 1
User ID- 5507206577, Username- None, Q1- 2, Q2- 2, Q3- 2, Q4- 2, Q5- 2, Q6- 2, Q7- 4, Q8- 1, Q9- 2, Q10- 4
User ID- 1334780110, Username- AnnGud1110, Q1- 2, Q2- 1, Q3- 2, Q4- 2, Q5- 3, Q6- 1, Q7- 2, Q8- 3, Q9- 3, Q10- 3
User ID- 761887960, Username- yulia_tokpanova, Q1- 1, Q2- 1, Q3- 3, Q4- 3, Q5- 2, Q6- 1, Q7- 4, Q8- 4, Q9- 1, Q10- 4
User ID- 1603198498, Username- None, Q1- 1, Q2- 1, Q3- 1, Q4- 2, Q5- 4, Q6- 2, Q7- 2, Q8- 1, Q9- 2, Q10- 4
User ID- 5237009817, Username- None, Q1- 3, Q2- 3, Q3- 2, Q4- 4, Q5- 4, Q6- 4, Q7- 1, Q8- 3, Q9- 2, Q10- 4
User ID- 200667213, Username- Fortunata27, Q1- 2, Q2- 2, Q3- 2, Q4- 2, Q5- 4, Q6- 3, Q7- 2, Q8- 2, Q9- 2, Q10- 4
User ID- 1427153059, Username- None, Q1- 2, Q2- 2, Q3- 3, Q4- 3, Q5- 2, Q6- 1, Q7- 3, Q8- 1, Q9- 2, Q10- 4
User ID- 1511191864, Username- IrinaM_63, Q1- 1, Q2- 4, Q3- 3, Q4- 4, Q5- 4, Q6- 4, Q7- 4, Q8- 4, Q9- 4, Q10- 3
User ID- 526874037, Username- fragola_s, Q1- 4, Q2- 1, Q3- 4, Q4- 2, Q5- 1, Q6- 1, Q7- 4, Q8- 4, Q9- 1, Q10- 4
User ID- 366437143, Username- None, Q1- 1, Q2- 2, Q3- 4, Q4- 2, Q5- 4, Q6- 4, Q7- 4, Q8- 1, Q9- 4, Q10- 3
User ID- 809248019, Username- None, Q1- 1, Q2- 4, Q3- 3, Q4- 4, Q5- 1, Q6- 1, Q7- 2, Q8- 4, Q9- 1, Q10- 4
User ID- 1010287485, Username- None, Q1- 4, Q2- 2, Q3- 4, Q4- 2, Q5- 1, Q6- 4, Q7- 4, Q8- 4, Q9- 1, Q10- 1
User ID- 5287369310, Username- None, Q1- 1, Q2- 1, Q3- 3, Q4- 2, Q5- 2, Q6- 1, Q7- 4, Q8- 1, Q9- 1, Q10- 4
User ID- 920280303, Username- None, Q1- 4, Q2- 2, Q3- 2, Q4- 4, Q5- 2, Q6- 3, Q7- 4, Q8- 3, Q9- 1, Q10- 1
User ID- 1016126044, Username- tomik0903, Q1- 2, Q2- 2, Q3- 4, Q4- 4, Q5- 2, Q6- 4, Q7- 4, Q8- 1, Q9- 1, Q10- 4
User ID- 1716441192, Username- None, Q1- 3, Q2- 1, Q3- 3, Q4- 4, Q5- 1, Q6- 2, Q7- 4, Q8- 4, Q9- 3, Q10- 3
User ID- 1206637094, Username- Anna_Ufaeva, Q1- 1, Q2- 2, Q3- 4, Q4- 4, Q5- 4, Q6- 4, Q7- 2, Q8- 2, Q9- 4, Q10- 4
User ID- 5217405707, Username- Olia_L09, Q1- 4, Q2- 2, Q3- 3, Q4- 4, Q5- 3, Q6- 2, Q7- 4, Q8- 1, Q9- 3, Q10- 4
User ID- 5107214011, Username- None, Q1- 4, Q2- 4, Q3- 3, Q4- 3, Q5- 2, Q6- 3, Q7- 4, Q8- 3, Q9- 2, Q10- 1
User ID- 812859554, Username- ElLevel, Q1- 4, Q2- 2, Q3- 3, Q4- 2, Q5- 1, Q6- 3, Q7- 4, Q8- 4, Q9- 4, Q10- 1
User ID- 1540263038, Username- None, Q1- 1, Q2- 2, Q3- 2, Q4- 3, Q5- 2, Q6- 2, Q7- 1, Q8- 2, Q9- 4, Q10- 4
